keyword_category,keyword,website_title,website_url,search_country,last_updated,website_summary,website_classification,seo_title_tag,seo_meta_description,seo_og_title,seo_og_description,seo_og_locale,seo_twitter_title,seo_twitter_description,seo_canonical_link
Curriculum & Teaching Support,AI curriculum design tools,Chartered College of Teaching - Chartered College of Teaching,https://chartered.college,UK,2025-07-28T22:08:15.002538,"The Chartered College of Teaching is the professional body for teachers. Our mission is to empower a knowledgeable and respected teacher profession. We are working to develop effective, evidence-informed teachers and leaders.",,Chartered College of Teaching - Chartered College of Teaching,"The Chartered College of Teaching is the professional body for teachers. Our mission is to empower a knowledgeable and respected teacher profession.Through membership and accreditation, we are working to develop effective, evidence-informed teachers and leaders, improve the quality of professional learning, establish more robust career pathways for teachers and improve job satisfaction within the teaching profession.",Chartered College of Teaching - Chartered College of Teaching,"The Chartered College of Teaching is the professional body for teachers. Our mission is to empower a knowledgeable and respected teacher profession.Through membership and accreditation, we are working to develop effective, evidence-informed teachers and leaders, improve the quality of professional learning, establish more robust career pathways for teachers and improve job satisfaction within the teaching profession.",en_GB,,,https://chartered.college/
Curriculum & Teaching Support,AI curriculum design tools,Teach Find,https://teachfind.com,UK,2025-07-28T22:08:21.662015,An IT school can open doors that self-teaching often can’t. The right training not only builds your skills—it validates them in the eyes of recruiters.,,Teach Find,,Teach Find,,en_US,,,http://teachfind.com/
Curriculum & Teaching Support,AI curriculum design tools,HE Professional,https://heprofessional.co.uk,UK,2025-07-28T22:08:28.612839,"He Professional is the go-to destination for solutions, professional development and practical tools. We present the launch of our new flagship event exploring the big decisions ahead on mapping organisational transformation across higher education.",Digital Product,HE Professional,"The go-to destination for solutions, professional development and practical 
tools to ensure you succeed and your students thrive.",HE Professional,"The go-to destination for solutions, professional development and practical tools to ensure you succeed and your students thrive.",,HE Professional,"The go-to destination for solutions, professional development and practical tools to ensure you succeed and your students thrive.",https://heprofessional.co.uk
Curriculum & Teaching Support,AI curriculum design tools,Elementary Learning Experience Platform | Seesaw,https://seesaw.com,UK,2025-07-28T22:08:39.483474,"Seesaw is a Learning Experience Platform with 25M+ users, enhancing elementary education, engagement, and school culture. Seesaw is trusted and loved by over 25 million educators, students, and families worldwide.",Digital Product,Elementary Learning Experience Platform | Seesaw,"Seesaw is a Learning Experience Platform with 25M+ users, enhancing elementary education, engagement, and school culture while improving academic success.",Elementary Learning Experience Platform | Seesaw,"Seesaw is a Learning Experience Platform with 25M+ users, enhancing elementary education, engagement, and school culture while improving academic success.",en_US,Home,,https://seesaw.com/
Curriculum & Teaching Support,AI curriculum design tools,"QA | Tech Training, Courses & Apprenticeships |",https://qa.com,UK,2025-07-28T22:08:53.455215,"Build your team's tech skills at scale with expert-led training in AI, data, cloud, cyber security and more. QA is the largest tech training company in the UK and the fastest growing in the US. Trusted by",,"QA | Tech Training, Courses & Apprenticeships |","Build your team's tech skills at scale with expert-led training in AI, data, cloud, cyber security and more.","qa.com | QA | Tech Training, Courses & Apprenticeships |","Build your team's tech skills at scale with expert-led training in AI, data, cloud, cyber security and more.",,"QA | Tech Training, Courses & Apprenticeships |","Build your team's tech skills at scale with expert-led training in AI, data, cloud, cyber security and more.",https://www.qa.com/
Curriculum & Teaching Support,AI curriculum design tools,Open eLMS: FREE LMS that's AI Powered - Open eLMS,https://openelms.com,UK,2025-07-28T22:09:01.660624,Open eLMS is a FREE LMS which uses Artificial Intelligence to manage learning and personnel management and create AI powered eLearning. Top Ranked LMS for the last 3 years.,,Open eLMS: FREE LMS that's AI Powered - Open eLMS,Open eLMS is a FREE LMS which uses Artificial Intelligence to manage learning and personnel management and create AI powered eLearning.,Open eLMS: FREE LMS that's AI Powered - Open eLMS,Open eLMS is a FREE LMS which uses Artificial Intelligence to manage learning and personnel management and create AI powered eLearning.,en_US,,,https://openelms.com/
Curriculum & Teaching Support,AI curriculum design tools,The Leading Content Authoring Tool for Creating Modern Learning Experiences | Intellum,https://evolveauthoring.com,UK,2025-07-28T22:09:09.159751,The Leading Content Authoring Tool for Creating Modern Learning Experiences | Intellum Create stunning HTML5 elearning content that plays inline. Evolve The #1 content authoring tool in the world.,Digital Product,The Leading Content Authoring Tool for Creating Modern Learning Experiences | Intellum,Create stunning HTML5 elearning content that plays inline.,The Leading Content Authoring Tool for Creating Modern Learning Experiences | Intellum,Create stunning HTML5 elearning content that plays inline.,,The Leading Content Authoring Tool for Creating Modern Learning Experiences | Intellum,Create stunning HTML5 elearning content that plays inline.,
Curriculum & Teaching Support,AI curriculum design tools,Home - Rethinking Assessment,https://rethinkingassessment.com,UK,2025-07-28T22:09:16.974251,"The aim of Rethinking Assessment is to make the case for a fairer, broader, strengths-based and more equitable assessment system. Now is the time to make real change – to design an assessment system that helps every young person",,Home - Rethinking Assessment,,Home - Rethinking Assessment,"RETHINKING ASSESSMENT THE AIM OF RETHINKING ASSESSMENT To make the case for change, and provide evidence for a fairer, broader, strengths-based and more equitable assessment system. A TIME FOR CHANGE Now is the time to make real change – to design an assessment system that helps every young person to thrive. Momentum is building. Join […]",en_US,,,https://rethinkingassessment.com/
Curriculum & Teaching Support,AI curriculum design tools,Elucidat | Authoring Tool For Impactful Elearning,https://elucidat.com,UK,2025-07-28T22:09:25.766038,"Elucidat’s elearning authoring platform empowers enterprise to create engaging, scalable learning content quickly. With features like PowerPoint Import, ready-to-use Templates, and a vast library of Stock Assets, you",,Elucidat | Authoring Tool For Impactful Elearning,"Elucidat’s elearning authoring platform empowers enterprise to create engaging, scalable learning content quickly. Book a demo to see Elucidat in action!",Elucidat | Authoring Tool For Impactful Elearning,"Elucidat’s elearning authoring platform empowers enterprise to create engaging, scalable learning content quickly. Book a demo to see Elucidat in action!",en_GB,Elucidat | Authoring Tool For Impactful Elearning,"Elucidat’s elearning authoring platform empowers enterprise to create engaging, scalable learning content quickly. Book a demo to see Elucidat in action!",https://www.elucidat.com/
Curriculum & Teaching Support,AI curriculum design tools,MBA Association | Association Business Schools | AMBA-BGA,https://amba-bga.com,UK,2025-07-28T22:09:33.382413,"MBA Association | Association Business Schools | AMBA-BGA AMBA & BGA is dedicated to raising standards in business education globally. AMBA is the leading impartial authority on MBA education, specifically offering MBA portfolio accreditation for leading",,MBA Association | Association Business Schools | AMBA-BGA,AMBA & BGA is dedicated to raising standards in business education globally. Discover more about our accreditation and student & graduate services here. ,MBA Association | Association Business Schools | AMBA-BGA,,,,,https://www.amba-bga.com
